person_income,loan_percent_income,person_emp_length,loan_status
85000,0.06,5.0,0
46875,0.17,1.0,0
51600,0.19,0.0,0
68004,0.24,5.0,0
62000,0.09,7.0,0
72000,0.13,14.0,0
58200,0.08,8.0,0
165000,0.15,0.0,0
24600,0.2,6.0,1
75000,0.13,14.0,0
78000,0.1,7.0,0
30000,0.33,15.0,1
23400,0.23,2.0,0
38400,0.21,0.0,0
90000,0.06,0.0,0
50000,0.05,1.0,0
53000,0.05,6.0,0
57996,0.08,1.0,0
90000,0.18,5.0,0
42000,0.1,3.0,0
37000,0.07,0.0,0
75000,0.27,0.0,0
50000,0.14,4.0,0
47600,0.5,6.0,0
39000,0.15,6.0,1
105000,0.18,4.0,0
52000,0.13,8.0,0
14400,0.17,2.0,1
60000,0.3,2.0,0
60000,0.1,1.0,0
27000,0.15,6.0,0
30000,0.13,4.0,1
77248,0.28,13.0,0
44307,0.23,6.0,1
120000,0.25,2.0,0
80000,0.08,5.0,0
70000,0.36,6.0,0
25740,0.19,3.0,0
60000,0.25,15.0,0
54000,0.11,3.0,0
96000,0.12,1.0,0
75000,0.05,2.0,0
61000,0.2,1.0,0
97000,0.07,4.0,0
62000,0.25,7.0,0
42000,0.04,2.0,0
54000,0.18,6.0,0
60000,0.1,0.0,0
36000,0.36,7.0,1
50000,0.13,3.0,0
72000,0.2,3.0,0
30000,0.11,2.0,0
33000,0.03,4.0,0
31200,0.1,3.0,0
75000,0.07,6.0,0
71820,0.25,10.0,0
25000,0.36,2.0,1
86000,0.12,4.0,0
92000,0.13,11.0,0
28800,0.15,0.0,0
31200,0.1,0.0,0
52800,0.13,3.0,0
50000,0.12,10.0,0
55000,0.13,16.0,0
90000,0.07,1.0,0
93000,0.04,1.0,1
120000,0.13,2.0,0
41160,0.1,2.0,0
81000,0.12,2.0,0
85000,0.12,0.0,0
180000,0.07,13.0,0
21000,0.2,3.0,0
70000,0.11,5.0,0
30000,0.35,2.0,1
39000,0.11,3.0,1
62000,0.06,10.0,0
45000,0.23,3.0,0
45000,0.07,9.0,0
65000,0.05,0.0,0
50004,0.06,12.0,0
62500,0.16,6.0,0
175000,0.1,2.0,0
50400,0.45,9.0,0
50000,0.1,4.0,0
85000,0.13,1.0,0
60000,0.17,4.0,0
45000,0.22,0.0,0
60000,0.22,3.0,1
85000,0.14,2.0,0
140000,0.17,12.0,0
67600,0.15,7.0,0
91800,0.05,0.0,1
113000,0.02,8.0,0
50000,0.21,6.0,0
43000,0.16,0.0,0
24000,0.21,3.0,0
69996,0.16,14.0,0
30000,0.15,7.0,0
118000,0.21,15.0,0
120000,0.06,3.0,0
54000,0.16,10.0,1
86250,0.23,5.0,0
113000,0.11,4.0,0
20400,0.37,3.0,1
75000,0.13,10.0,0
90000,0.03,3.0,0
66996,0.15,7.0,0
81400,0.1,4.0,0
55812,0.18,3.0,0
86004,0.09,16.0,0
100000,0.1,0.0,0
52000,0.05,6.0,0
90000,0.19,5.0,0
40000,0.15,2.0,0
54000,0.12,1.0,1
20000,0.25,2.0,0
72000,0.04,8.0,0
78000,0.08,5.0,1
29000,0.34,1.0,1
64000,0.09,3.0,0
55000,0.22,3.0,0
22178,0.11,3.0,0
72000,0.03,1.0,0
121000,0.02,3.0,0
40000,0.14,6.0,0
39000,0.09,6.0,1
45000,0.22,1.0,0
75000,0.16,6.0,0
72000,0.21,6.0,0
24000,0.09,0.0,0
58000,0.26,3.0,0
107400,0.23,2.0,0
29328,0.34,9.0,0
80000,0.06,2.0,0
45996,0.04,2.0,0
27600,0.04,0.0,0
62400,0.32,8.0,1
23624,0.42,6.0,1
150000,0.1,9.0,0
48000,0.07,4.0,0
24000,0.38,0.0,1
60000,0.21,4.0,0
74000,0.2,5.0,0
35000,0.29,8.0,0
74337,0.22,8.0,0
180000,0.11,11.0,1
48000,0.1,0.0,0
63996,0.19,6.0,0
67000,0.1,2.0,1
33600,0.3,5.0,0
82800,0.12,4.0,0
65000,0.22,7.0,0
43000,0.43,4.0,1
90000,0.24,11.0,0
60000,0.2,11.0,0
25200,0.16,1.0,0
40000,0.28,12.0,0
66000,0.2,1.0,0
42000,0.24,0.0,1
163000,0.06,5.0,0
36000,0.11,5.0,0
24000,0.13,4.0,0
72000,0.33,4.0,0
66000,0.04,9.0,0
99600,0.05,6.0,0
58100,0.17,4.0,0
79000,0.09,1.0,0
100000,0.25,1.0,0
40000,0.13,2.0,0
67000,0.1,3.0,0
53000,0.23,6.0,0
34000,0.18,5.0,0
80000,0.14,4.0,0
75000,0.16,17.0,0
75000,0.08,6.0,0
100300,0.21,2.0,1
85800,0.22,5.0,0
88812,0.33,6.0,0
40000,0.1,7.0,0
29000,0.27,8.0,0
46500,0.19,9.0,0
55000,0.2,5.0,0
45000,0.06,6.0,0
26400,0.06,6.0,0
27600,0.26,2.0,0
69912,0.11,9.0,0
150000,0.06,2.0,0
14400,0.17,2.0,1
53481,0.28,4.0,0
40000,0.25,10.0,0
15360,0.1,0.0,0
33600,0.28,3.0,0
12120,0.3,0.0,1
115000,0.22,10.0,0
96720,0.19,9.0,0
54000,0.06,7.0,0
29760,0.26,6.0,0
60000,0.1,5.0,0
60000,0.12,8.0,0
32388,0.19,0.0,0
30000,0.12,0.0,0
73500,0.16,1.0,1
43200,0.1,5.0,0
42000,0.06,3.0,0
36000,0.51,4.0,1
65900,0.15,2.0,0
96000,0.26,1.0,1
67600,0.24,7.0,0
91200,0.05,3.0,0
35000,0.27,6.0,0
33000,0.15,6.0,0
65000,0.11,0.0,0
70000,0.07,9.0,0
37000,0.11,0.0,0
78000,0.03,7.0,0
30000,0.4,0.0,1
135000,0.19,9.0,0
25596,0.12,12.0,0
30000,0.4,0.0,1
66500,0.06,0.0,0
140300,0.04,6.0,0
85500,0.24,8.0,0
65000,0.3,11.0,0
45000,0.21,8.0,0
72060,0.08,7.0,0
27996,0.5,2.0,1
67000,0.04,7.0,0
87000,0.04,7.0,0
54000,0.29,7.0,0
92700,0.27,2.0,0
59354,0.14,5.0,1
60000,0.33,11.0,0
49441,0.24,11.0,0
71000,0.05,6.0,1
63000,0.16,2.0,0
36000,0.03,0.0,0
48000,0.36,12.0,0
151000,0.23,8.0,0
37000,0.08,6.0,1
82000,0.1,5.0,0
42000,0.36,11.0,0
53688,0.15,11.0,0
200000,0.03,0.0,0
39000,0.13,9.0,0
105500,0.06,6.0,0
90000,0.07,11.0,0
30000,0.07,2.0,0
49000,0.31,7.0,1
92000,0.23,0.0,0
95000,0.37,7.0,0
120000,0.04,10.0,0
108717,0.15,9.0,0
54000,0.03,7.0,0
38790,0.12,0.0,0
74000,0.22,3.0,1
26000,0.08,7.0,0
150500,0.07,10.0,1
54400,0.11,2.0,1
108000,0.22,10.0,0
65004,0.26,5.0,0
